file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,6
style.css,2,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,51
style.css,3,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,76
style.css,4,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,45
style.css,5,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,27
style.css,6,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,26
style.css,7,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,0
style.css,8,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,0
style.css,9,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,0
style.css,10,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,5
style.css,11,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,24
style.css,12,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,0
style.css,13,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,0
style.css,14,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,0
style.css,15,css,064694a1,Nicole Fang,2025-01-10,20:05:23,-08:00,2025-01-10T20:05:23-08:00,0,5
style.css,16,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,16
style.css,17,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,13
style.css,18,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,19
style.css,19,css,da7c4553,Nicole Fang,2025-01-25,21:45:02,-08:00,2025-01-25T21:45:02-08:00,0,30
